date,product,category,region,revenue,cost,quantity
2025-01-04,Alpha,Software,North,12000,7800,120
2025-01-12,Beta,Software,South,9800,6100,91
2025-01-18,Gamma,Services,East,7600,4200,65
2025-02-03,Alpha,Software,North,13500,8200,129
2025-02-08,Delta,Hardware,West,8900,5900,70
2025-02-21,Beta,Software,South,10200,6400,94
2025-03-02,Alpha,Software,North,15000,8600,140
2025-03-11,Gamma,Services,East,9100,4700,78
2025-03-26,Delta,Hardware,West,11200,6600,88
2025-04-04,Alpha,Software,North,17100,9800,153
2025-04-16,Beta,Software,South,10800,6500,95
2025-04-23,Gamma,Services,East,9800,5000,82
2025-05-03,Alpha,Software,North,13200,8600,118
2025-05-15,Delta,Hardware,West,8400,6100,67
2025-05-27,Beta,Software,South,9200,6400,84
2025-06-06,Alpha,Software,North,18800,10500,162
2025-06-18,Gamma,Services,East,11400,5600,91
2025-06-28,Delta,Hardware,West,12600,7100,99
